Contact ID,Salutation,First Name,Last Name,Title,Account Name,Account ID (Look up to Account ID in Account Master),Mailing City,Mailing State/Province,Work Phone,Mobile,Email,Contact Specialty,Contact Owner,Academic Qualificaitons,Department,Career Stage,Years of Experience,HCP's consent to send email,I Accept The Privacy Policy,I Accept the Terms and Conditions,HCP Classification,I opt in to receive surveys,HCP Faculty
a1,b1,a1,b1,a1,b1,a1,b1,a1,b1,a1,b1,a1,b1,a1,b1,a1,b1,a1,b1,a1,b1,a1,a1
a2,b2,a2,b2,a2,b2,a2,b2,a2,b2,a2,b2,a2,b2,a2,b2,a2,b2,a2,b2,a2,b2,a2,a2
a3,b3,a3,b3,a3,b3,a3,b3,a3,b3,a3,b3,a3,b3,a3,b3,a3,b3,a3,b3,a3,b3,a3,a3
a4,b4,a4,b4,a4,b4,a4,b4,a4,b4,a4,b4,a4,b4,a4,b4,a4,b4,a4,b4,a4,b4,a4,a4
a5,b5,a5,b5,a5,b5,a5,b5,a5,b5,a5,b5,a5,b5,a5,b5,a5,b5,a5,b5,a5,b5,a5,a5
a6,b6,a6,b6,a6,b6,a6,b6,a6,b6,a6,b6,a6,b6,a6,b6,a6,b6,a6,b6,a6,b6,a6,a6
a7,b7,a7,b7,a7,b7,a7,b7,a7,b7,a7,b7,a7,b7,a7,b7,a7,b7,a7,b7,a7,b7,a7,a7
a8,b8,a8,b8,a8,b8,a8,b8,a8,b8,a8,b8,a8,b8,a8,b8,a8,b8,a8,b8,a8,b8,a8,a8
a9,b9,a9,b9,a9,b9,a9,b9,a9,b9,a9,b9,a9,b9,a9,b9,a9,b9,a9,b9,a9,b9,a9,a9
a10,b10,a10,b10,a10,b10,a10,b10,a10,b10,a10,b10,a10,b10,a10,b10,a10,b10,a10,b10,a10,b10,a10,a10
